Experiment: Identify solvable or not
Model: llama-3.1-70b-versatile
scots_hscc16 2: Correct 
scots_hscc16 3: Incorrect 
scots_hscc16 4: Correct 
scots_hscc16 5: Correct 
scots_hscc16 6: Correct 
scots_hscc16 7: Correct 
scots_hscc16 8: Correct 
scots_hscc16 9: Correct 
scots_hscc16 10: Correct 
Success Rate: 80.00%
-----------------------------
spiral 1: Correct 
spiral 2: Correct 
spiral 3: Correct 
spiral 4: Correct 
spiral 5: Incorrect 
spiral 6: Correct 
spiral 7: Correct 
spiral 8: Correct 
spiral 9: Correct 
spiral 10: Correct 
Success Rate: 90.00%
-----------------------------
wall 1: Correct 
wall 2: Correct 
wall 3: Correct 
wall 4: Correct 
wall 5: Correct 
wall 6: Correct 
wall 7: Correct 
wall 8: Correct 
wall 9: Correct 
wall 10: Correct 
Success Rate: 100.00%
-----------------------------
box 1: Incorrect 
box 2: Incorrect 
box 3: Incorrect 
box 4: Incorrect 
box 5: Incorrect 
box 6: Incorrect 
box 7: Incorrect 
box 8: Incorrect 
box 9: Incorrect 
box 10: Incorrect 
Success Rate: 0.00%
-----------------------------
box_2 1: Incorrect 
box_2 2: Incorrect 
box_2 3: Incorrect 
box_2 4: Incorrect 
box_2 5: Incorrect 
box_2 6: Incorrect 
box_2 7: Incorrect 
box_2 8: Incorrect 
box_2 9: Incorrect 
box_2 10: Incorrect 
Success Rate: 0.00%
-----------------------------
canyon 1: Incorrect 
canyon 2: Incorrect 
canyon 3: Incorrect 
canyon 4: Incorrect 
canyon 5: Incorrect 
canyon 6: Incorrect 
canyon 7: Incorrect 
canyon 8: Incorrect 
canyon 9: Incorrect 
canyon 10: Incorrect 
Success Rate: 0.00%
-----------------------------
curve 1: Incorrect 
curve 2: Incorrect 
curve 3: Incorrect 
curve 4: Incorrect 
curve 5: Incorrect 
curve 6: Incorrect 
curve 7: Incorrect 
curve 8: Incorrect 
curve 9: Correct 
curve 10: Incorrect 
Success Rate: 10.00%
-----------------------------
diagonal_wall 1: Incorrect 
diagonal_wall 2: Incorrect 
diagonal_wall 3: Incorrect 
diagonal_wall 4: Incorrect 
diagonal_wall 5: Incorrect 
diagonal_wall 6: Incorrect 
diagonal_wall 7: Incorrect 
diagonal_wall 8: Incorrect 
diagonal_wall 9: Incorrect 
diagonal_wall 10: Incorrect 
Success Rate: 0.00%
-----------------------------
easy 1: Incorrect 
easy 2: Incorrect 
easy 3: Incorrect 
easy 4: Incorrect 
easy 5: Incorrect 
easy 6: Incorrect 
easy 7: Incorrect 
easy 8: Incorrect 
easy 9: Incorrect 
easy 10: Incorrect 
Success Rate: 0.00%
-----------------------------
maze_2d 1: Incorrect 
maze_2d 2: Incorrect 
maze_2d 3: Incorrect 
maze_2d 4: Incorrect 
maze_2d 5: Incorrect 
maze_2d 6: Incorrect 
maze_2d 7: Incorrect 
maze_2d 8: Incorrect 
maze_2d 9: Incorrect 
maze_2d 10: Incorrect 
Success Rate: 0.00%
-----------------------------
scots_hscc16 1: Incorrect 
scots_hscc16 2: Correct 
scots_hscc16 3: Incorrect 
scots_hscc16 4: Incorrect 
scots_hscc16 5: Incorrect 
scots_hscc16 6: Incorrect 
scots_hscc16 7: Incorrect 
scots_hscc16 8: Incorrect 
scots_hscc16 9: Incorrect 
scots_hscc16 10: Incorrect 
Success Rate: 10.00%
-----------------------------
spiral 1: Correct 
spiral 2: Incorrect 
spiral 3: Incorrect 
spiral 4: Incorrect 
spiral 5: Incorrect 
spiral 6: Incorrect 
spiral 7: Incorrect 
spiral 8: Incorrect 
spiral 9: Incorrect 
spiral 10: Incorrect 
Success Rate: 10.00%
-----------------------------
wall 1: Incorrect 
wall 2: Incorrect 
wall 3: Incorrect 
wall 4: Incorrect 
wall 5: Incorrect 
wall 6: Incorrect 
wall 7: Incorrect 
wall 8: Incorrect 
wall 9: Incorrect 
wall 10: Incorrect 
Success Rate: 0.00%
-----------------------------
Average Percentage of correct classifications: 92.00%
Average Percentage of incorrect classifications: 3.00%
